北京,街道（镇/乡）,社区卫生服务中心（站）,办公地址,办公电话
,雁翅镇,雁翅镇社区卫生服务中心（雁翅中心卫生院）,北京市门头沟区雁翅镇雁翅村,61830208
,斋堂镇,斋堂镇社区卫生服务中心（斋堂医院）,北京市门头沟区斋堂镇东斋堂村33号,15611523043
,清水镇,清水镇社区卫生服务中心（清水中心卫生院）,北京市门头沟区清水镇上清水村、清水镇黄塔村、清水镇齐家庄村,60855119
,东辛房街道,东辛房社区卫生服务中心（京煤总医院门矿医院）,北京市门头沟区门头沟路47号,61815049
,大台街道,大台社区卫生服务中心（京煤总医院大台医院）,北京市门头沟区大台北大地9号,61870100
房山区,良乡镇,良乡地区社区卫生服务中心,北京市房山区良乡苏庄大街,89370240
,城关街道,城关街道社区卫生服务中心,北京市房山区城关北大街16号,89336063
,东风街道,燕化东风街道社区卫生服务中心,北京市房山区东风北里31号,69334338
,,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,迎风街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,星城街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,向阳街道,燕山地区社区卫生服务中心,北京市房山区燕房路50号,69347570
,河北镇,河北镇社区卫生服务中心,北京市房山区河北镇李各庄村,60377217
,阎村镇,阎村镇社区卫生服务中心,北京市房山区阎村镇紫园南路28号,01089317688
,张坊镇,张坊社区卫生服务中心,北京市房山区张坊镇张坊村,010-61331366
,长沟镇,长沟社区卫生服务中心,北京市房山区长沟大街15号,01061361364
,周口店镇,周口店镇社区卫生服务中心,北京市房山区周口店大街28号,69305088
,长阳镇,长阳镇社区卫生服务中心,北京市房山区长阳镇政府西侧长阳镇卫生院,80351615
,佛子庄乡,佛子庄社区卫生服务中心,北京市房山区佛子庄乡黑龙关村,60365950
,南窖乡,南窖乡社区卫生服务中心,北京市房山区南窖乡南窖村,60375388
,史家营乡,史家营乡社区卫生服务中心,北京房山区史家营乡北涧村,60397794
,霞云岭乡,霞云岭社区卫生服务中心,北京市房山区霞云岭乡,010-60367349
,大安山乡,大安山乡社区卫生服务中心,北京市房山区大安山乡大安山村,60373799
,石楼镇,石楼社区卫生服务中心,北京市房山区石楼镇石楼大街3号,89300294
,琉璃河镇,琉璃河镇社区卫生服务中心,北京市房山区琉璃河镇中原大街25号,61393399
,青龙湖镇,青龙湖镇社区卫生服务中心,北京市房山区青龙湖镇豆各庄村, 010-60321345
,十渡镇,十渡镇社区卫生服务中心,北京市房山区十渡镇八渡村十渡镇社区卫生服务中心,61340834
,蒲洼乡,蒲洼乡社区卫生服务中心,北京市房山区蒲洼乡蒲洼村,010-61371643
,大石窝镇,大石窝镇社区卫生服务中心,北京市房山区大石窝镇石窝村, 010-61385258
,韩村河镇,韩村河镇社区卫生服务中心,北京市房山区韩村河镇韩村河村;北京市房山区韩村河镇岳各庄村,80380563
,窦店镇,窦店镇社区卫生服务中心,北京市房山区窦店镇窦店村2区77号；北京市房山区窦店镇交道二街四区3号,69396889
,拱辰街道,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
,西潞街道,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
,新镇街道,新镇原新中路社区卫生服务站,北京市房山区新镇原新中路,69358238
,良乡地区,良乡镇社区卫生服务中心,北京市房山区良乡镇官道东大街48号,60331999
通州区,新华街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,永顺地区,永顺社区卫生服务中心,北京市通州区永顺地区龙旺庄36号楼,89596885
,梨园地区,梨园社区卫生服务中心,北京市通州区葛布店南里10、11号楼；通州区群芳园路口往东200米（梨园敬老院底商）；,81553000
,潞城镇,潞城社区卫生服务中心,北京市通州区潞城镇胡各庄,89584074
,潞城镇,甘棠社区卫生服务中心,北京市通州区潞城镇侉店村,61521017
,宋庄镇,宋庄社区卫生服务中心,北京市通州区宋庄镇前夏村,69594606
,宋庄镇,徐辛庄社区卫生服务中心,北京市通州区宋庄镇徐辛庄村,89567154
,中仓街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,北苑街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,玉桥街道,新华社区卫生服务中心,北京市通州区新华大街47号,69544236
,台湖镇,台湖社区卫生服务中心,北京市通州区台湖镇台湖村东口路北, 010-61531720
,台湖镇,次渠社区卫生服务中心,北京市通州区台湖镇次渠村,69544987
,张家湾镇,张家湾社区卫生服务中心,北京市通州区张家湾镇张家湾村东区甲2号,61503694
,张家湾镇,牛堡屯社区卫生服务中心,北京市通州区张家湾镇牛堡屯后坨村186号,69581337
,马驹桥镇,马驹桥社区卫生服务中心,北京市通州区马驹桥镇兴华大街11号,59012825
,马驹桥镇,大杜社社区卫生服务中心,北京市通州区马驹桥镇大杜社村北,61583000
,漷县镇,漷县社区卫生服务中心,北京市通州区漷县镇漷兴一街,80586031
,漷县镇,觅子店社区卫生服务中心,北京市通州区漷县镇觅子店村村北,80566218
,西集镇,西集社区卫生服务中心,北京市通州区西集镇南,010-61576285
,西集镇,郎府社区卫生服务中心,北京市通州区西集镇郎东村后/北京市通州区西集镇郎府敬老院内,61559055
,永乐店镇,永乐店社区卫生服务中心,北京市通州区永乐店镇永乐大街20号, 010-69568653
,于家务回族乡,于家务社区卫生服务中心,北京市通州区于家务回族乡于家务村, 010-80534409
顺义区,北石槽镇,北石槽社区卫生服务中心,北京市顺义区北石槽镇府前街12号,60422508
,北务镇,北务社区卫生服务中心,北京市顺义区北务镇政府东侧100米,61421715
,赵全营镇,赵全营社区卫生服务中心,北京市顺义区赵全营镇中板路119号,60431136
,北小营镇,北小营社区卫生服务中心,北京市顺义区北小营镇府前街2号,60483645
,南彩镇,南彩社区卫生服务中心,北京市顺义区南彩镇顺平路南彩段３号,89469280
,南彩镇,洼里社区卫生服务站,北京市顺义区南彩镇洼里村,89461839
,赵全营镇,板桥社区卫生服务中心,北京市顺义区赵全营镇板桥村牛板路23号,60442196
,大孙各庄镇,大孙各庄社区卫生服务中心,北京市顺义区大孙各庄镇府前东街4号,01061432044
,天竺地区,天竺社区卫生服务中心,北京市顺义区天竺镇府前一街27号,01064566232
,牛栏山地区,牛栏山社区卫生服务中心（三院）,北京市顺义区牛栏山镇府前街13号,52135333
,杨镇地区,杨镇社区卫生服务中心（二院）,北京市顺义区杨镇环镇东路2号（注：杨镇小学后面）,61451265
,张镇,张镇社区卫生服务中心,北京市顺义区张镇大街5号,61480647
,李遂镇,李遂社区卫生服务中心,北京市顺义区李遂镇府前街东侧,89481582
,南彩镇,俸伯社区卫生服务中心,北京市顺义区南彩镇后俸伯村东,89477261
,木林镇,木林社区卫生服务中心,北京市顺义区木林镇顺焦路81号,60457195
,后沙峪地区,后沙峪社区卫生服务中心（空港）,北京市顺义区后沙峪地区双裕街49号,80496772
,仁和地区,仁和社区卫生服务中心,北京市顺义区石园南区东侧,89446896
,高丽营镇,张喜庄社区卫生服务中心,北京市顺义区高丽营镇张喜庄村南,010-69491442
,胜利街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,光明街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,旺泉街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,石园街道,城区卫生服务中心,北京市顺义区建新南区甲28号北,69448469
,龙湾屯镇,龙湾屯社区卫生服务中心,北京市顺义区龙湾屯镇府前街17号,60462200
,李桥镇,李桥社区卫生服务中心,北京市顺义区李桥镇任李路沿河段154号,69485961
,杨镇地区,沙岭社区卫生服务中心,北京市顺平路沙岭段57号,61444966
,,小店社区卫生服务中心,北京市顺义区杨镇小店村,61412835
,高丽营镇,高丽营社区卫生服务中心,北京市顺义区高丽营镇高泗路四村段9号,69455946
,南法信地区,南法信社区卫生服务中心,北京市顺义区南法信镇顺于路9号,69478565
,马坡地区,马坡社区卫生服务中心,北京市顺义区马坡镇马坡花园东侧,69404194
昌平区,马池口地区,马池口社区卫生服务中心,北小营村马池口社区卫生院临806号,60756310
,南邵镇,南邵社区卫生服务中心,北京市昌平区南邵镇南邵村,60735776
,沙河地区,沙河社区卫生服务中心,北京市昌平区沙河镇展思门路5号,80707369
,十三陵镇,十三陵社区卫生服务中心,北京市昌平区十三陵镇胡庄村,89761433
,小汤山镇,小汤山社区卫生服务中心,北京市昌平区小汤山镇小汤山村村南,010-61781542
,兴寿镇,兴寿社区卫生服务中心,北京市昌平区兴寿镇兴寿村西,61726071
,阳坊镇,阳坊社区卫生服务中心,北京市昌平区阳坊镇阳坊村中心北街13号,69762823
,城北街道,城区社区卫生服务中心,北京市昌平区城北街道南环里53号,69706816
,南口地区,南口社区卫生服务中心,北京市昌平区南口镇兴隆街3号,51642228
,百善镇,百善社区卫生服务中心,北京市昌平区百善镇百善村西,61739134
,北七家镇,北七家社区卫生服务中心,北京市昌平区北七家镇定泗路北侧,69756429
,崔村镇,崔村社区卫生服务中心,北京市昌平区崔村镇政府街,60721380
,东小口地区,东小口社区卫生服务中心,北京市昌平区东小口镇陈营村北,84847221
,城南街道,城区社区卫生服务中心,北京市昌平区城北街道南环里53号,69706816
,回龙观地区,回龙观社区卫生服务中心,北京市昌平区回龙观派出所东100米,82950224
,流村镇,流村社区卫生服务中心,北京市昌平区流村镇北流村北,89778043
大兴区,安定镇,安定社区卫生服务中心,北京市大兴区安定镇善台子村,80232120
,北臧村镇,北臧村社区卫生服务中心,北京市大兴区北臧村镇北兴路9号,60276179
,采育镇,采育社区卫生服务中心,北京市大兴区采育镇东二营村,80275012
,长子营镇,长子营社区卫生服务中心,北京市大兴区长子营镇上长子村,80265046
,黄村地区（黄村镇）,黄村社区卫生服务中心,北京市大兴区黄村镇狼垡二村,69244148
,西红门地区（西红门镇）,金星社区卫生服务中心,北京市大兴区西红门镇团河路金荣园小区东里,61288262
,旧宫地区（旧宫镇）,旧宫社区卫生服务中心,北京市大兴区旧宫镇庑殿路32号,87972870
,礼贤镇,礼贤社区卫生服务中心,北京市大兴区礼贤镇西,89271505
,庞各庄镇,庞各庄社区卫生服务中心,北京市大兴区庞各庄镇繁荣村,89287912
,黄村地区（黄村镇）,孙村社区卫生服务中心,北京市大兴区黄村镇孙村组团横三路西侧,61267297
,魏善庄镇,魏善庄社区卫生服务中心,北京市大兴区魏善庄镇魏善庄村北,89201952
,西红门地区（西红门镇）,西红门社区卫生服务中心,北京市大兴区西红门镇欣荣北大街28号,60255344
,兴丰街道,兴丰街道社区卫生服务中心,北京市大兴区黄村镇富强路20号,69253643
,亦庄地区（亦庄镇）,亦庄社区卫生服务中心,北京市大兴区广德北巷6号,67870497
,瀛海镇,瀛海社区卫生服务中心,北京市大兴区瀛海镇政府对面,69271800
,榆垡镇,榆垡社区卫生服务中心,北京市大兴区榆垡镇榆垡路9号,89213168
,林校路街道,林校路社区卫生服务中心,北京市黄村西大街26号,60283295
,清源街道,清源社区卫生服务中心,北京市大兴黄村兴丰北大街138号,60283678
,青云店镇,青云店社区卫生服务中心,北京市大兴区青云店镇五村,80281032
怀柔区,泉河街道,泉河街道社区卫生服务中心,北京市怀柔区泉河街道社区卫生服务中心,69685145
,怀柔地区,怀柔镇社区卫生服务中心,北京市怀柔区兴怀大街4号,69698120
,庙城地区,庙城镇社区卫生服务中心,北京市怀柔区庙城镇庙城村,01060693051
,桥梓镇,桥梓镇社区卫生服务中心,北京市怀柔区桥梓镇茶坞铁路地区,01051048019
,杨宋镇,杨宋镇社区卫生服务中心,北京市怀柔区杨宋镇仙台村,61671428
,北房镇,北房镇社区卫生服务中心,北京市怀柔区北房镇社区卫生服务中心,61681942
,渤海镇,渤海镇社区卫生服务中心,北京市怀柔区渤海镇渤海所村西,61632391
,九渡河镇,九渡河社区卫生服务中心,北京市怀柔区九渡河镇黄花城村,61651165
,雁栖地区,雁栖镇社区卫生服务中心,北京市怀柔区雁栖镇下庄村南434号,61642581
,怀北镇,怀北镇社区卫生服务中心,北京市怀柔区怀北镇西庄村西319号,010-69662564
,琉璃庙镇,琉璃庙镇社区卫生服务中心,北京市怀柔区琉璃庙镇琉璃庙村,61610541
,汤河口镇,汤河口镇社区卫生服务中心,北京市怀柔区汤河口镇汤河口大街5号,89671926
,宝山镇,宝山镇社区卫生服务中心,北京市怀柔区宝山镇宝山寺村115号,60625988
,长哨营满族乡,长哨营社区卫生服务中心,北京市怀柔区长哨营满族乡长哨营村,60621945
,喇叭沟门满族乡,喇叭沟门社区卫生服务中心,北京市怀柔区喇叭沟门村,60623519
,龙山街道,龙山街道社区卫生服务中心,北京市怀柔区南大街24号,69647901
朝阳区,望京开发街道,望京社区卫生服务中心,北京市朝阳区望花路西里14号,64707662
,望京街道,望京社区卫生服务中心,北京市朝阳区望花路西里14号,64707662
,酒仙桥街道,酒仙桥社区卫生服务中心,北京市朝阳区酒仙桥十街坊6号,64321278
,左家庄街道,左家庄社区卫生服务中心,北京市朝阳区顺源街01楼,64672412
,三里屯街道,三里屯社区卫生服务中心,北京市朝阳区北三里屯南45号,010-64152731
,团结湖街道,团结湖社区卫生服务中心,北京市朝阳区团结湖北三条7号楼,85975958
,六里屯街道,六里屯社区卫生服务中心,北京市朝阳区水碓子东路15号,85964238
,朝阳门外街道,朝外社区卫生服务中心,北京市朝阳区工体南路6号,65535620
,八里庄街道,八里庄社区卫生服务中心,北京市朝阳区延静西里11楼,65005221
,八里庄街道,八里庄第二社区卫生服务中心,北京市朝阳区十里堡东里119楼,65574585
,双井街道,双井社区卫生服务中心,北京市朝阳区广渠门外大街31号,67788835
,劲松街道,劲松社区卫生服务中心,北京市朝阳区劲松五区,87715961
,潘家园街道,潘家园社区卫生服务中心,北京市朝阳区潘家园华威里25号,67719999
,垡头街道,垡头社区卫生服务中心,北京市朝阳区垡头金蝉北里19号楼,67204382
,孙河地区（孙河乡）,孙河社区卫生服务中心,北京市朝阳区孙河乡西甸村中街,84595672
,来广营地区（来广营乡）,来广营社区卫生服务中心,北京市朝阳区朝来家园赢秋苑小区北侧综合楼,84952190
,崔各庄地区（崔各庄乡）,崔各庄社区卫生服务中心,北京市朝阳区东直门外京顺路北皋北,84701525
,金盏地区（金盏乡）,金盏社区卫生服务中心,北京市朝阳区金盏乡楼梓庄中心街104号,84317826
,金盏地区（金盏乡）,金盏第二社区卫生服务中心,北京市朝阳区金盏大街2号，北京市朝阳区金盏乡楼梓庄中心街104号,84334240
,东坝地区（东坝乡）,东坝社区卫生服务中心,北京市朝阳区东坝乡东风大队二条,84314994
,将台地区（将台乡）,将台社区卫生服务中心,北京市朝阳区酒仙桥路49号,64372046
,东风地区（东风乡）,东风社区卫生服务中心,北京市朝阳区南十里居40号；北京市朝阳区石佛营西里29号,84503274
,平房地区（平房乡）,平房社区卫生服务中心,北京市朝阳区姚家园西里1号院1号楼,85575492
,常营回族地区（常营回族乡）,常营社区卫生服务中心,北京市朝阳区常营回族乡政府西,65435960
,高碑店地区（高碑店乡）,高碑店社区卫生服务中心,北京市朝阳区高碑店乡高碑店村250号,85775004
,三间房地区（三间房乡）,三间房社区卫生服务中心,北京市朝阳区双桥中路铁路桥南,85365532
,管庄地区（管庄乡）,管庄第二社区卫生服务中心,北京市朝阳区管庄地区瑞祥里小区17号楼,85706208
,黑庄户地区（黑庄户乡）,黑庄户社区卫生服务中心,北京市朝阳区黑庄户乡黑庄户村,85386211
,豆各庄地区（豆各庄乡）,豆各庄社区卫生服务中心,北京市朝阳区豆各庄乡,67384620
,王四营地区（王四营乡）,王四营社区卫生服务中心,北京市朝阳区王四营乡,67379393
,小红门地区（小红门乡）,小红门社区卫生服务中心,北京市朝阳区鸿博家园五区临2号,87604635
,十八里店地区（十八里店乡）,十八里店社区卫生服务中心,北京市朝阳区十八里店乡周家庄村23号,1067482091
,南磨房地区（南磨房乡）,南磨房社区卫生服务中心,北京市朝阳区西大望路29号,010-6732664
,香河园街道,香河园社区卫生服务中心,北京市朝阳区柳芳南里15号楼,64617215
,奥运村地区（奥运村乡）,奥运村社区卫生服务中心,北京市朝阳区媒体村天居园9号楼105,84828804
,亚运村街道,亚运村社区卫生服务中心,北京市朝阳区安慧里一区17号楼,010-64916748
,安贞街道,安贞社区卫生服务中心,北京市朝阳区安贞社区卫生服务中心,64234017
,小关街道,小关社区卫生服务中心,北京市朝阳区安外小关51号,52075435
,大屯街道,大屯社区卫生服务中心,北京市朝阳区安慧北里逸园甲10号,64969518
,太阳宫地区（太阳宫乡）,太阳宫社区卫生服务中心,北京市朝阳区光熙门北里34号楼,64294423
,呼家楼街道,呼家楼第二社区卫生服务中心,北京市朝阳区呼家楼南里1号,65006552
,和平街街道,北京市朝阳区和平街社区卫生服务中心,北京市朝阳区和平街13区1号,010-64202514
,潘家园街道,北京市朝阳区潘家园第二社区卫生服务中心,北京市朝阳区松榆里22号楼,67335624
,建国门外街道,朝阳区建外社区卫生服务中心,北京市朝阳区东三环南路2号,
,麦子店街道,朝阳区麦子店街道农展南里社区卫生服务站,北京市朝阳区麦子店街道农展南里社区居委会旁,010-65026170
,麦子店街道,朝阳区麦子店街道霞光里社区卫生服务站,北京市朝阳区麦子店街道霞光里30号院内,010-64632529
,麦子店街道,朝阳区麦子店街道枣营北里社区卫生服务站,北京市朝阳区麦子店街道枣营北里26号楼东侧,65035115
,首都机场街道,朝阳区首都机场街道南平街社区卫生服务站,北京首都机场宿舍区燕翔西里,64597291
,酒仙桥街道,朝阳区酒仙桥街道东路社区卫生服务站,北京市朝阳区酒仙桥驼房营南里甲15楼2层,64321278
,酒仙桥街道,朝阳区酒仙桥街道南路社区卫生服务站,北京市朝阳区酒仙桥十一街坊21号楼后,64321278